address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
457471,Desoeuvre Jacqueline,"22 Rue de la Folie Méricourt, France",poi,Paris,48.862424,2.373724,http://tour-pedia.org/api/getPlaceDetails?id=457471,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457471,,,
457472,Saint-Ambroise,France,poi,Paris,48.861272,2.374214,http://tour-pedia.org/api/getPlaceDetails?id=457472,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457472,,,
457473,Le Coent Marie-Laure,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457473,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457473,,,
457474,Deforges International Academie,"69 Boulevard Richard Lenoir, Paris, France",poi,Paris,48.860447,2.371965,http://tour-pedia.org/api/getPlaceDetails?id=457474,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457474,,,
457475,Richard-Lenoir,France,poi,Paris,48.860395,2.372071,http://tour-pedia.org/api/getPlaceDetails?id=457475,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457475,,,
457476,Ecole Primaire Alphonse Baudin,"17 Rue Alphonse Baudin, Paris, France",poi,Paris,48.861036,2.370099,http://tour-pedia.org/api/getPlaceDetails?id=457476,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457476,,,
457477,"Sophie Roccia, Ostéopathe D.O","17 Rue Pelée, Paris, France",poi,Paris,48.859999,2.370593,http://tour-pedia.org/api/getPlaceDetails?id=457477,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457477,,,
457478,Centre Élémentaire Saint-Sébastien,"24 Rue Saint-Sébastien, Paris, France",poi,Paris,48.861124,2.369556,http://tour-pedia.org/api/getPlaceDetails?id=457478,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457478,,,
457479,Ecole Maternelle Alphonse Baudin,"19 Rue Alphonse Baudin, Paris, France",poi,Paris,48.861138,2.370038,http://tour-pedia.org/api/getPlaceDetails?id=457479,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457479,,,
457480,Soins infirmiers Paris Saint Ambroise,"Boulevard Richard Lenoir, Paris, France",poi,Paris,48.860969,2.372361,http://tour-pedia.org/api/getPlaceDetails?id=457480,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457480,,,
457481,Nocera Olivia,"4 Rue Alphonse Baudin, Paris, France",poi,Paris,48.860325,2.370831,http://tour-pedia.org/api/getPlaceDetails?id=457481,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457481,,,
457482,Fréquence Performance,"13 Rue Pelée, Paris, France",poi,Paris,48.859879,2.370138,http://tour-pedia.org/api/getPlaceDetails?id=457482,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457482,,,
457483,Krys Henri,"73 Boulevard Richard Lenoir, Paris, France",poi,Paris,48.860917,2.37208,http://tour-pedia.org/api/getPlaceDetails?id=457483,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457483,,,
457484,Cabinet de Podologie,"4 Rue Alphonse Baudin, Paris, France",poi,Paris,48.860358,2.370812,http://tour-pedia.org/api/getPlaceDetails?id=457484,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457484,,,
457485,Moreau Gregory,"17 Rue Pelée, Paris, France",poi,Paris,48.859833,2.370698,http://tour-pedia.org/api/getPlaceDetails?id=457485,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457485,,,
457486,Selarl Dr Alain Guigui,"73 Boulevard Richard Lenoir, Paris, France",poi,Paris,48.860917,2.37208,http://tour-pedia.org/api/getPlaceDetails?id=457486,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457486,,,
